,Time,Volt
0,181.19299542267981,0.007443381
1,181.2929954201536,0.15019754
2,181.3929954176274,0.1853521
3,181.49299541510118,0.21337147
4,181.59299541257496,0.24037147
5,181.69299541004875,0.2666428
6,181.79299540752254,0.2925398
7,181.89299540499633,0.3179592
8,181.99299540247011,0.34313205
9,182.0929953999439,0.36803874
10,182.1929953974177,0.39278182
11,182.29299539489148,0.4173948
12,182.39299539236526,0.4419154
13,182.49299538983905,0.4662904
14,182.59299538731284,0.49064353
15,182.69299538478663,0.51483625
16,182.79299538226041,0.5390576
17,182.8929953797342,0.5632953
18,182.992995377208,0.587504
19,183.09299537468178,0.61173576
20,183.19299537215556,0.6359196
21,183.29299536962935,0.6601575
22,183.39299536710314,0.6844456
23,183.49299536457693,0.70870334
24,183.59299536205071,0.7329511
25,183.6929953595245,0.7571749
26,183.7929953569983,0.7812883
27,183.89299535447208,0.8052531
28,183.99299535194586,0.8291804
29,184.09299534941965,0.85284084
30,184.19299534689344,0.8762998
31,184.29299534436723,0.8995562
32,184.39299534184102,0.9225671
33,184.4929953393148,0.9452905
34,184.5929953367886,0.9676057
35,184.6917953342927,0.9893686
0,184.6921953342826,0.99375135
1,184.79219533175637,0.81503695
2,184.89219532923016,0.76562506
3,184.99219532670395,0.732761
4,185.09219532417774,0.702584
5,185.19219532165152,0.6739322
6,185.2921953191253,0.6464878
7,185.3921953165991,0.61986804
8,185.4921953140729,0.5940792
9,185.59219531154667,0.5688619
10,185.69219530902046,0.54411644
11,185.79219530649425,0.51987296
12,185.89219530396804,0.49598464
13,185.99219530144182,0.4724791
14,186.0921952989156,0.44929892
15,186.1921952963894,0.42632887
16,186.2921952938632,0.40370584
17,186.39219529133698,0.38136542
18,186.49219528881076,0.35919642
19,186.59219528628455,0.33727336
20,186.69219528375834,0.31549206
21,186.79219528123213,0.29389685
22,186.8921952787059,0.2725034
23,186.9921952761797,0.2512399
24,187.0921952736535,0.23012295
25,187.19219527112728,0.20917964
26,187.29219526860106,0.18834636
27,187.39219526607485,0.16766073
28,187.49219526354864,0.14706552
29,187.59219526102243,0.12662786
30,187.6921952584962,0.106325835
31,187.79219525597,0.086154014
32,187.8921952534438,0.066050515
33,187.99219525091758,0.046101186
34,188.09219524839136,0.02627446
35,188.1759952462744,0.008149398
